estimated_population_2019	death_rate
131341	0.1905
60201	0.1304
150674	0.1795
6718903	0.0906
42205	0.0909
1084839	0.088
472406	0.0929
104476	0.0909
18228	0.2
89170	0.0556
34309	0.4286
182594	0.0227
36896	0.1667
273012	0.0431
17264943	0.0903
25215	1
46174	0.25
128969	0.069
529544	0.0275
55058	0.25
1777225	0.0319
210305	0.0833
10065	0.5
120454	0.0833
346616	0.0357
16254	0.5
38461	0.5
25877	0.5
34116	0.0833
35070	0.0526
281519	0.0476
24293	0.2
84014	0.0495
44161	0.0147
2548	1
246748	0.0625
203275	0.0692
1483771	0.0333
22687	0.3333
77593	1
236835	0.0217
17502	0.0909
3030	0.5
51715	0.3333
4569	1
66218	0.25
71554	0.1875
11377239	0.0379
8513	0.1875
13071	0.2
142295	0.0202
10979	0.1429
33450	0.0208
82989	0.0429
16684	0.5
74641	0.0133
215186	0.0308
500973	0.0121
69639	0.0417
69425	0.0588
219536	0.0333
65312	0.0526
25086	0.3333
590466	0.0213
16916	1
171797	0.0312
3976	0.25
32531	0.125
21388	0.1667
17453	1
246586	0.0185
13410	0.0455
30374	0.0455
8676	0.3333
105686	0.0577
21268	0.1429
7164788	0.0201
36305	0.1333
18705	0.25
37214	0.0667
239597	0.0588
25228	0.5
22364	0.3333
197016	0.0317
6357	0.2222
236072	0.0417
134236	0.1429
89824	0.037
104386	0.1538
142761	0.0294
90655	0.0476
36126	0.1429
122098	0.0638
274182	0.0479
62508	0.5
376818	0.068
146497	0.0597
168668	0.1538
4191	1
101470	0.1149
76801	0.0882
1204073	0.0488
84650	0.1
12540	0.1667
47138	0.2
121532	0.1481
400927	0.0478
121862	0.2
17896	1
249210	0.1016
35292	0.125
82238	0.2
423884	0.0655
46793	0.2857
15494	0.5
273726	0.1102
69385	0.1071
194276	0.0612
353187	0.0556
175844	0.075
154489	0.0992
21220	1
29798	0.25
320459	0.0432
1379182	0.095
230851	0.0769
8159	1
11166	0.0714
251627	0.16
15262	0.2
101816	0.1176
175693	0.0583
163901	0.0714
237700	0.127
74773	0.1667
370821	0.1154
120858	0.125
173939	0.15
61252	0.2
77263	0.2353
233662	0.0303
124937	0.0851
44380	0.1667
30044	1
418962	0.0987
31444	0.75
28516	0.4
7260	0.5
103391	0.5
68432	0.1667
306114	0.0286
78013	0.1875
21747	0.5
100179	0.125
238882	0.0833
472912	0.0897
12908	0.25
19779	0.5
29564	0.2857
68885	0.25
445842	0.082
151888	0.0435
56702	0.0909
50498	0.0769
59772	0.4
18524	0.2
60174	0.125
698418	0.0971
113542	0.1579
19648	0.0345
109424	0.0625
46687	0.5
63407	0.5
68284	0.0526
168328	0.0909
27303	0.25
404142	0.1011
39719	1
117452	0.1273
49961	0.25
56150	0.3333
325073	0.1915
228743	0.0952
39516	0.5455
29707	0.3333
56322	0.2727
123393	0.0794
703293	0.0708
10799	1
206424	0.4444
17139	0.5
193475	0.1667
14788	0.5
57386	0.3846
139447	0.0226
27557	1
718773	0.0559
6929	1
433311	0.0829
838936	0.066
161127	0.0486
251983	0.2143
460671	0.0909
721944	0.0457
15825	0.1667
40954	0.125
12252023	0.0839
91016	0.0385
88980	0.0625
365798	0.0122
45107	1
125815	0.1818
679378	0.1667
282441	0.0323
297637	0.0854
289664	0.0792
121766	0.0588
314924	0.1111
65524	0.25
129193	0.16
52597	0.2308
121838	0.1538
78728	0.0625
122480	0.25
45919049	0.0828
19761	0.04
407319	0.0567
881935	0.0508
17545	1
15616	1
17852	1
28635	1
1018948	0.0329
32704	0.2
51901	0.0833
13264	0.5
24642	1
28236	0.0556
13176	1
7951	0.5
25733	1
3337357	0.0428
39565	0.0577
27502	0.3333
19679	0.1111
41161	0.25
28294	0.0152
37869	0.0435
85097	0.0857
48296	0.0609
101337	0.0783
9148	0.1
97377	0.0593
32105	0.1667
2182763	0.0932
55751	0.25
63905	0.0824
19454	0.25
114273	0.069
36279	0.04
33347	0.0179
39299	0.0303
65844	0.0843
59849	0.0741
16256	0.125
4144597	0.0792
50410	0.0526
503327	0.0304
27270	0.0435
121364	0.032
845731	0.0305
17040	1
16970	1
54379	1
23328	0.5
299132	0.025
30662	0.5
54704	0.2
614872	0.0116
7128	0.5
162327	0.0207
45873	0.1176
213223	0.0183
14579	0.1667
8761	1
76147	0.25
216707	0.1111
198440	0.0851
13997	1
2872347	0.0377
20519	0.1905
19178	1
338480	0.1071
14873064	0.0374
14929	0.3333
62641	0.037
54270	0.1429
17146	0.1429
43452	0.3333
80271	0.0317
74547	0.0667
10935	1
32591	0.0833
17738	0.6667
22547	0.2
18699	1
71743	0.0833
361400	0.0383
75074	0.1333
53618	0.1094
19450	1
2669342	0.0611
67337	0.0556
13353	1
102498	0.1429
26178	0.3333
38166	0.25
37980	0.0222
34682	0.1429
59540	0.1111
227886	0.0909
128978	0.0725
38737	0.1429
13818	1
43797	0.1667
25703	0.1
72203	0.0556
83432	0.0625
43258	0.2222
20567	0.0909
81082	0.0526
78194	0.0909
16554	1
43703	0.1429
48422	0.1304
13000	0.2
208935	0.0413
18324	0.1667
75946	0.1667
55918	0.3333
19825	0.5
60889	1
9132078	0.0607
3015268	0.0226
3015268	0.0213
30586	0.1
101220	0.0476
381285	0.0276
21509	0.0476
124859	0.0323
173555	0.0256
11574	0.1429
40431	0.2
130611	0.0588
517510	0.0585
78239	0.0714
493838	0.0255
362097	0.0285
4018650	0.0331
578179	0.0513
5600	0.5
70084	0.0714
1516113	0.0297
208299	0.2308
10988	0.3333
31458	0.25
89918	0.2
3223	0.1667
235647	0.0526
168468	0.0909
7018354	0.0383
8128	1
26803	0.1429
29848	0.125
104949	0.0333
9431	0.2
32695	0.25
12908	0.5
258682	0.0455
50266	0.25
14962	0.5
19433	0.3333
122197	0.0729
30761	0.1667
37855	0.04
177687	0.0426
1101884	0.0613
51714	0.125
7075181	0.0577
117267	0.1429
106229	0.3333
3429	1
2512070	0.0277
7715	1
6868	1
8632	1
75123	0.3333
10350	1
663855	0.0577
238230	0.0133
31617	1
36225	0.037
279885	0.1429
4221	1
120060	0.125
568873	0.0376
60724	0.0625
15416	0.5
13388	1
409341	0.1
2462	1
40750	0.5
102693	1
31331	0.5
33639	0.3333
21083	0.5
152488	0.0714
90757	0.0526
34691	0.5
167397	0.1429
150737	0.0833
3641	1
46487	0.2
56323	0.3333
3962	1
12337	0.5
70956	0.5
7021	0.5
56746	0.1
333783	0.06
691305	0.0708
135558	0.0625
19320	1
21168791	0.0455
11329	0.3333
895982	0.0156
222949	0.0833
42148	0.5
121388	0.06
2778986	0.0361
22354	0.5
61012	0.3333
94376	0.1429
612547	0.0078
65534	0.2
27739	0.125
232491	0.0417
142996	0.1053
3484466	0.0377
530598	0.0346
124680	0.0625
1492745	0.0599
62737	0.0833
127686	0.1429
102701	0.0968
23767	0.1429
137890	0.1111
37085	0.25
69027	0.0909
200793	0.0441
17929	1
38807	0.0833
57943	0.4
28935	0.5
279349	0.2
28336	0.125
131521	0.025
52137	0.3333
113145	0.12
208273	0.0896
31082	0.25
52357	0.5
10128	0.2
70801	0.0233
304589	0.0943
31482	0.0571
18050	0.2
13996	1
58986	0.1429
53686	0.04
61403	0.5
8602865	0.0603
96880	0.1
17804	1
14122	1
67736	0.0769
61993	0.2
409731	0.0392
24670	0.125
809015	0.0641
7150	0.3333
21837	1
6617	0.3333
107605	0.1176
4509	1
136586	0.1528
52625	0.0417
15376	0.5
4018127	0.0762
99990	0.0597
24885	1
36771	0.6667
38386	0.3333
22829	0.5
20524	0.2
74338	0.3077
76439	0.1429
48554	0.5
39184	0.4444
38134	0.5
207048	0.1974
157828	0.0845
19551	1
83641	0.0769
361118	0.12
